"","MKI67","PMEPA1","SOX9","BGN","IFI6","GPRC5A","SOX4","TIMP1","FKBP10","CDC25B","ARFGEF3","PLOD3","MET","SLC12A7","TYMP","BOP1","KPNA2","VAV2","HELZ2","RUNX1","LMNB2","LPCAT1","SH3KBP1","THEM6","RCC2","CAD","DNMT1","SLC1A5","TMEM63A","CHD7","ENTPD6","IRAK1","DKC1","PLXNA3","GTPBP4","NCAPD2","MFHAS1","PARP14","PDCD11","MTHFD2","MFSD12","ATP5PF","RAP1A","UBL3","PINK1","MXI1","GSN","CITED2","METTL7A","KAT2B","PER1","KLF4","SLC25A4","GPX3","FHL1","class"
"TCGA-BR-6705-01A",20559.6976849858,25174.7679943539,15567.8869422,292672.628638198,32372.3332102149,22273.2590111765,21136.9612523195,174831.866940273,26751.6090019654,13778.3698834654,3114.18503430035,21796.2570108007,8409.81870726182,12839.5570292227,11010.5429895653,6857.28353406428,13951.5489536656,7139.83885912763,14571.3477312239,30743.8423044734,17257.1424339766,11511.8508243551,10153.76232647,4368.97373592576,25913.0577146807,15886.9010188844,12566.1163920646,16202.8768662671,11125.9957030321,3949.69809228337,4924.96969814719,13927.2431192515,5909.35599191627,6100.76443792693,4976.61959627705,11994.9292833344,7407.2030376822,8254.86901287224,8178.91328032833,4988.77251348407,11666.8005187447,10275.2914985403,6787.40426012388,7106.41833680831,6568.65175039742,4135.03007969051,159355.126877125,9081.26738295,11931.1264679975,2299.93958142962,25964.7076128105,11800.482608022,3296.47879240574,92061.3860725219,44862.4938697356,"yes"
"TCGA-HU-A4GX-01A",24003.7523863626,7000.26834318599,44525.6719562777,18446.2408738201,68180.1734819454,105319.723524051,22040.9320469987,33912.4110847677,1404.62900742359,6338.36933208735,5444.65315581132,9780.549212386,6956.04006825082,9958.98742505544,22442.0367472727,5264.68983021308,11470.3743374949,7401.37304346004,27596.9184466123,5731.37438642548,12499.8255644341,9226.93321923207,6088.25081176437,9066.79636170821,34967.7892314964,5461.42939802811,12647.7615185275,20198.5956290098,31595.7645459225,5115.2287631908,12316.8120129782,17947.528946103,10523.279208711,4653.1195457648,6975.86653632521,16176.8728357677,3025.8240507366,31334.9702350979,6060.79877904599,12275.6339639007,8597.06157963821,16491.0460991002,11337.6895126895,9109.49952371457,3022.773824879,4239.81394206036,19097.4640944172,7146.67918435066,4380.12433150984,3315.59550720835,2302.92052248602,7402.89815638884,3655.69569033046,3373.5497985027,4194.0605541964,"yes"
"TCGA-D7-6520-01A",10860.1840351301,68154.3646990649,27400.8531193767,100211.218960688,182782.003365217,51093.2708825743,19435.7362268242,65511.3271438004,15763.3050974041,9750.59922864758,1513.81407964065,18499.6263310897,13748.7049546607,25849.3982572153,36771.7714112928,8279.33559881304,10143.3726114733,9510.02553166685,49561.4546895541,13187.3663283723,9199.07993692985,1972.04969293728,12971.3409678182,22996.8815644437,20221.2829924756,13403.3916889264,6726.24418088982,22034.5867765208,47897.0774798303,2089.88170778499,4606.90446939291,16730.5095526123,5423.54579451797,6315.46868468463,5469.36935584764,11331.512094521,5624.84215321613,12789.6832782613,10755.4444663766,3462.9519919131,5263.16332986415,8966.68901875799,8074.76612859133,7542.88550601489,5484.0983577036,5588.83792645711,79282.9438791259,6114.17232598646,12832.2337280674,1345.24883617796,2855.78980429507,1484.35607592873,4230.49664418496,2782.14479501525,5238.61499343755,"yes"
"TCGA-BR-4280-01A",37577.9668825467,3858.28402998263,46320.902978343,15621.2140322556,8212.7355048609,30056.641607757,36925.9634531532,31065.0974614618,2744.14630173324,33012.1516585794,14190.0306803725,18207.7331312783,18574.9328648653,25030.4833031464,5808.92066352539,7965.54739151939,19363.068878418,7584.01791223142,10190.2404115929,6962.46519245241,13792.380237171,10449.9670524228,4965.25688538155,7356.53319922873,25034.0657395716,15531.6531216246,15268.3440443695,13335.619592953,26613.9202031021,9339.41176059863,21913.7636131883,16253.5140613103,15841.5338724078,6772.59606191473,8420.51681752477,20179.8643833725,12531.3626154868,26284.3360519801,8425.89047216263,10858.3648049001,8008.53662862226,15146.5412059114,8866.53015246705,11718.1495469575,2631.2995543382,6077.60339541833,26407.9301086509,5522.32574950625,1038.90656331937,2260.51738432594,1721.36070232744,8114.21850316682,5579.64473231008,1391.77655120543,1511.78817145095,"yes"
"TCGA-BR-8676-01A",17325.8255706954,1474.73084492081,7536.50793754009,10300.4973432046,16326.084721838,352.849711361421,162179.679513055,52271.5181382207,2614.70683547309,7645.07707949745,5460.12309760557,8341.72907372385,3433.49911440152,3514.92597086954,12060.2221857634,15873.7132970157,21460.5003935715,3600.87654158578,3618.97139857867,10205.4993439919,11336.4279060477,5071.08367225837,13733.9964576061,10490.4933416299,29539.8540408984,5568.69223956294,12254.741898437,13801.8521713294,6165.82252032842,25925.406356568,7106.75508395887,6790.09508658324,13865.1841708045,5043.94138676903,7771.7410784477,9649.08249146039,5369.64881264111,11752.6096168842,5930.5893794208,19085.5504132543,6048.20594987461,36492.8028404177,46806.8713263669,8540.77250064567,800.697421935532,6197.48852006598,20076.2438336152,1963.29198372893,22387.8618144573,2800.17911965025,4650.3782471736,7672.21936498679,5138.93938598172,1587.82370112639,4659.42567567004,"yes"
"TCGA-VQ-A91K-01A",31127.1448432661,7399.54781026343,37305.1118375712,48215.7157025824,138237.520476743,263626.406469263,17307.7999789241,74796.6814315098,2591.19779000214,5391.45427653739,15259.0247528997,15573.1778212035,13395.5772362344,37366.1343760187,17481.8272182003,8269.68400664444,13209.119479867,11889.2245741878,26034.0229769164,9200.84274147294,15386.7200648361,5385.80404149595,12570.6429201848,10229.1855190141,20884.3987601525,8781.59530139846,19646.9972860782,17279.5488037169,24213.5172465661,5955.34773367261,22347.8096358842,19660.5578501776,6238.98953275266,14000.1523856679,5615.20358417822,12854.2847192649,14547.0951376789,9119.47935687628,4450.1251186343,7044.7130496613,12847.5044372152,3856.85043928361,5603.90311409535,5712.3876268909,3042.08654630867,1898.4789739222,50934.608804521,4195.86454176972,1761.74328591947,2552.77619172039,2887.27010617335,8817.75680566364,3068.07762749927,1825.02591838354,8981.61362186526,"yes"
"TCGA-HU-A4HD-01A",18934.7518290265,11558.4006983936,38572.8023306855,22446.6424521845,5048.28523653952,176140.416122389,39115.9256511738,37036.4077173039,34607.0815431194,29578.1278145973,7735.3648509558,16506.3462028428,10432.5704933812,20707.7272786208,5048.28523653952,14390.9268969406,25784.549503186,15653.9187540763,9014.92657210641,10941.6335378389,15789.239310198,6092.18666947822,6359.14558971828,13170.280247843,22173.2396959386,15972.4283623627,9805.67730481747,17059.5955513403,23107.5959167788,21921.9300917127,15503.8694299414,11900.8445547015,12494.5980152354,21291.3547111456,14475.6173130168,25373.064546816,7449.99497069919,10778.6965416924,6264.32914563302,6809.29356212306,4745.42494426718,14485.7433410259,4004.38380360083,6038.79488543021,2199.18917397756,2699.04673842704,37914.6105100936,4459.13451600975,2192.74533797176,1033.77540492959,4887.18933639466,2978.89333067868,1761.00832558354,3918.77283952384,2792.94263451147,"yes"
"TCGA-VQ-A91Z-01A",43129.5363497172,82483.2244831188,224419.156957383,21566.2065932267,16756.1355702326,41521.3846141588,20916.0414908364,19886.1339392623,17709.8069482964,42240.5937982189,11403.7808224572,17826.3188361141,5054.60214557451,35264.2647128357,2909.92035870724,10468.8088831791,21395.0348074204,12391.9742413558,22491.109603928,57456.1832961948,17252.3899072341,6815.22622815369,2615.04459324259,17882.4171524708,29142.356138116,15005.5804162303,11354.8745979412,96486.2272967693,29368.1878219109,12065.4532717926,25605.2853709083,36601.9937951876,17200.6068459818,25283.0796564494,11383.6429653036,18948.2851632479,9185.73969881584,17406.300672623,13496.6795480722,4923.70607407557,4720.88908417062,4531.01785957875,3194.72719559505,14822.901283479,2344.62194003599,8204.73837175783,24299.2014926552,2652.44347081372,335.151479772015,719.209184060119,2448.18806254064,21559.0145013861,3466.58826716977,13807.3779155862,401.318724705546,"yes"
"TCGA-HU-A4GU-01A",39043.1786945598,35945.3255251872,41275.9709789001,39513.7016759457,43841.9286040974,237317.471546367,22741.4570164839,21676.2046766384,3502.61983348403,27611.8082492759,20572.9597979231,9736.31871109892,10912.6261645635,44310.9903339882,8327.67226993137,10312.0518001238,19702.0539069108,18481.9089085966,31485.5859624866,16620.2745039831,9293.55950811783,12370.9551565606,4351.60695207153,20342.0820617152,39057.7912095097,17010.4286531446,13310.5398678373,20552.5022769933,58828.5239366849,6236.62138060486,27383.8530160579,26619.6184841797,16008.0101275835,10765.0397635698,5903.45603974781,27359.0117406431,8922.40162839112,18649.9528305201,6198.6288417352,15220.3955717854,9058.29801742492,10274.0592612542,8044.18947990388,6552.25170352207,3042.3256125631,3204.52452850667,29121.2810435975,3359.4171869753,493.903005305633,2292.70359563473,1098.86112423028,7978.43316262946,3952.68529394005,739.393256463463,695.555711613851,"yes"
"TCGA-CD-A486-01A",14783.9191690598,21498.7123003281,17734.6190855182,107952.500484613,122732.451881485,23913.7629715307,20152.3149381789,52711.8535053568,14077.6557197596,32710.3139102869,5923.88387531033,14561.7239265833,2272.21087246777,22444.3646715821,25818.2936213291,13613.4263738712,16311.5114610856,8701.32440626628,26287.8133301335,20185.3797064046,10072.8509922669,7095.69926122794,6729.34162928756,10530.4673845101,20660.1897781252,6333.88700130859,6421.17798942435,15147.6316195421,14481.0458921127,12539.4827019016,12928.3243762354,9906.20456040955,9662.84786626865,10455.0797129556,12334.4811389025,11546.2170644026,5191.16861142957,15336.7620937929,5449.07380358977,14399.0452669131,8463.25807504148,18283.4942380643,7984.48023113384,6087.88512570963,2108.20962206847,3724.41549293902,32431.2472664623,2552.60010702142,5021.87699811416,1085.84698853087,9834.78466104211,5138.26498226851,4102.67644144064,5359.13763401595,1092.45994217601,"yes"
"TCGA-BR-6455-01A",30979.5535815797,4688.75792342598,45170.8770841499,47716.7925076156,7997.11249135343,16500.4942872301,47532.2530968541,49971.3299140894,3632.5126118308,9506.20780435667,6070.37535399532,12332.5745691769,7927.91021231788,9444.28997574591,12263.3722901413,14610.1794019959,18160.1349090124,6551.14908203175,18129.7830322424,54420.915048568,26262.8719315253,2742.59558493508,5602.95645173768,11256.9040564489,34721.3329497824,13386.3917306305,13023.3832844616,11703.683682503,17602.8744515156,5508.25859621535,15112.8064813067,16839.221231983,10018.5474842339,4954.64036393098,5153.74867554202,17732.7804840911,9053.35780294861,8437.82174205349,8772.90646159403,9095.85043042658,8197.43487803528,9946.91705505673,7864.77830863633,3886.2543016278,1277.20697448061,2738.95335972269,31603.5881679704,6412.74452396065,12399.3486980708,2457.2879432973,7680.23889787487,6758.75591913839,1255.35362320623,3180.87668549355,6365.39559619949,"yes"
"TCGA-BR-8380-01A",24781.3210338719,18967.738755607,41703.1871188764,93315.9376184456,4589.44728488168,22199.6245685878,36105.6286629732,54959.0018655651,10604.2282212287,8407.98602721747,6698.85637382591,9871.44152968782,7224.09076545058,14083.9060657421,4739.81680829035,8611.30256591089,9242.43098810505,8793.44029849041,11457.7341076188,13094.8558202231,13372.2981803151,8579.53435674005,4786.41018174093,10093.8189938837,14030.9590504574,16021.7668251638,12376.8942929619,8075.47877122927,7639.19536528298,5351.884304982,8465.168803725,19575.5704910758,7560.83378266155,4871.12540619652,6368.4669984491,17648.2991347111,12832.2386244107,9545.28791553379,9250.90251055061,4674.16250933727,9401.27203395928,18385.3215874748,22722.7410796011,11241.710285257,11375.1367637746,10644.4679528451,151623.308730618,22868.874841787,19795.8300746604,7628.60596222603,44361.1272861706,13446.4240017138,10856.2560139841,11688.5830942603,138871.54956944,"yes"
"TCGA-BR-4201-01A",25473.2682058023,32306.5328085804,26384.8582867516,124130.013191425,15044.8973400036,164948.381093206,14039.9516483547,110302.399794858,25951.0292723239,6410.41860137394,6247.50390819225,16476.3500373977,8436.78450420688,10713.9292044094,8614.34321475322,4841.6782411862,22171.0422900746,5702.01426135918,6589.80781409086,22125.2797358101,7217.67005860007,6366.48654928,13655.5461925327,4493.88282877585,17852.8876696745,6816.79008324288,8993.25716406345,8790.07142312898,11325.3169293834,5678.21773314163,11001.3180451906,8213.46323939603,10770.6747716974,4510.35734831108,8973.12164018706,11857.9930610224,10712.0987022388,13435.885932063,5932.65753485236,12264.3645428913,5204.1176709612,11451.6215791535,13498.1230058628,7367.7712365877,2097.75548748559,5907.03050446422,33580.5623193047,8903.56255770499,5451.23546398961,3410.22554379202,6659.36689657293,4849.00024986853,4080.18933822459,14991.8127770567,12381.5166818085,"yes"
"TCGA-IN-AB1V-01A",20044.6786618257,5622.7120595636,36827.0250070304,7431.25449521705,26332.8415919438,76042.2534867826,12676.027558612,29006.2382949034,5485.91205481545,3311.02384373477,15493.1801987645,5390.84764473623,11579.3088764786,13944.3259077177,13264.9631722735,7417.3426303274,12325.9122922227,3714.46792553439,19713.1125486226,22511.7160355889,11182.8207271238,3074.52214061086,2898.30518534206,9191.10540375675,20320.5973154703,8994.02065115349,7769.776540865,24118.5364303425,23826.38726766,8824.75962832951,9566.72575577708,17742.26502259,6385.54598434563,15674.0344423299,5771.10528505311,14503.1191474517,4120.23065148227,20471.309185108,9000.97658359831,5578.6578207464,5989.05783499084,10809.5190192518,10823.4308841414,22342.4550127649,5010.59000441936,10308.6918832246,117525.115943546,13169.8987621943,28132.1094510042,15398.1157886853,13659.1326774801,33372.2452261026,3512.74588463458,26342.1161685369,13988.3801465349,"yes"
"TCGA-BR-6453-01A",15301.9899266124,12161.9273917955,14772.8312401896,77422.8937404069,14825.1656157698,11379.8192234013,26920.221305435,156302.427601132,7672.80095313132,11600.7865869625,4259.43667917294,11237.3534232105,5146.21359872771,13444.1195935124,13560.418205913,12330.5603797764,14255.3024150068,8498.52110117576,13897.6841818748,5582.33339523006,13153.3730625108,7242.496087249,12237.5214898559,16991.2272717315,16869.1137287108,10423.2631364061,10501.7646997766,11461.2282520817,15363.0466981227,8376.40755815511,13449.9345241324,17563.9979378046,7541.96501418061,4619.96237761488,4640.31463478499,12092.1482243551,10469.7825813664,9838.86260909298,6736.59712330628,6099.86222041285,11240.2608885205,20009.1762635277,10760.5291123679,7259.94087910909,4163.49032394242,3736.09292337012,80589.123463014,8542.133080826,12560.2501392676,2302.7125255324,12798.6622946889,13528.4360875028,3904.72591135103,24666.9356901728,15363.0466981227,"yes"
"TCGA-B7-A5TJ-01A",22654.1183129876,42748.0458576006,35087.8734789182,45289.536693404,2410.59130780552,65584.0635146892,53359.4075947812,50085.2194009635,15951.0424831729,21510.0224384085,15369.6445795978,22312.419545097,13603.3509485612,12613.9545161615,3966.08569894943,12727.8541054584,7335.47354949283,11821.7573726937,12994.7531430645,9526.76564805511,12523.854841046,3729.78655100516,3393.18776472484,21622.2220338353,20811.3249577963,13977.3495999838,7797.87188216074,18978.7315658257,33923.3776778979,7005.67473869292,29443.8938301775,21431.8227203838,8542.46919726569,8054.57095654624,4982.68203327079,15252.3450025608,13254.8522051902,8078.37087072768,6567.07632020644,5009.88193519244,7398.37332268663,10079.2636558385,6825.47538846204,14670.9470989857,2769.29001439718,3423.78765438669,42929.9452017016,3423.78765438669,2935.88941366723,1535.09446470267,4040.88542923394,6393.67694545597,2968.18929719918,1569.09434210472,4368.98424616375,"yes"
"TCGA-IN-A7NU-01A",11625.4509679444,195790.348649988,27732.0511845158,98560.9624426664,83481.9256223201,123721.065008228,35691.1073126744,238850.727182928,11017.4252897046,14422.3690878473,6767.32579880862,26321.4316109995,83895.3830835232,31447.0880785608,20119.5696929539,7703.68534329786,13169.8361906734,15899.8714859699,13109.0336228494,19444.6611901078,6511.95501394791,4639.23592496943,15218.8827263414,5143.89723790844,16781.5087194176,5806.64522718978,7126.06094897008,8536.68052248634,12646.9341073872,3398.8635413603,13929.8682884731,29841.9002880078,7071.3386379285,17304.4108027038,4870.28568270054,7861.7720196402,7959.05612815856,20320.218166773,4444.6677079327,7709.76560008026,7375.35147704838,12890.1443786831,9035.26157864295,11248.4750474357,5308.06417103317,4517.63078932148,61410.5935022166,4560.19258679826,5308.06417103317,2432.10271295907,6980.13478619254,6609.23912246628,3009.72710728685,7199.02403035885,5241.1813464268,"yes"
"TCGA-BR-6454-11A",10568.605220632,6242.81478863215,15566.6987837154,9685.00681977948,22024.6505742942,32474.16209742,6984.26909891277,45028.9428538815,5270.85654769434,10015.3957870548,8908.97691990028,12969.6878316444,9692.69028413472,17030.3987433885,15313.1444599925,6626.98800639413,9124.11392184699,6058.4116441064,24917.4749040419,12819.8602767172,9608.17217622708,7468.32735329286,10852.8934017759,5889.37542829113,11002.7209567031,7180.19743997138,8440.28559423067,12654.6657930796,21886.3482158999,4825.21561509045,12112.9815560352,20426.4899884044,5132.55418930003,9877.09342866047,4433.35893297323,10007.7123226995,6215.92266338881,9846.35957123951,4679.2297923409,5812.54078473873,8278.93284277064,18225.1774506283,18036.9325739249,20149.8852716158,8463.33598729638,6803.70768656464,240346.448496249,32593.2557949263,20656.9939190616,5804.85732038349,42673.9610290006,103703.718402668,12358.8524154028,45897.1743260236,123934.280050014,"no"
